"","county","fips","total","businesses","difference"
"1","CUMBERLAND","23005",389,99,290
"2","YORK","23031",150,36,114
"3","PENOBSCOT","23019",143,28,115
"4","AROOSTOOK","23003",122,9,113
"5","KENNEBEC","23011",91,16,75
"6","ANDROSCOGGIN","23001",82,30,52
"7","HANCOCK","23009",71,17,54
"8","KNOX","23013",56,18,38
"9","SAGADAHOC","23023",40,13,27
"10","LINCOLN","23015",26,13,13
"11","SOMERSET","23025",25,5,20
"12","OXFORD","23017",21,8,13
"13","WALDO","23027",21,8,13
"14","FRANKLIN","23007",14,3,11
